,NO,Time,FcName,FcCode,FcLoc,water_use,Cl_Val,Cl_Unit,pH_Val,pH_Unit,tb_Val,tb_Unit
187,893,2022050320,대불정수장,4684012366,전남 무안군 몽타면,공업용수,점검중,mg/L,점검중,pH,0.2829,NTU
188,892,2022050320,반송정수장,4812312335,경남 창원시 성산구,생활정수,0.6687,mg/L,6.7803,pH,0.0761,NTU
189,891,2022050320,구천정수장,4831012332,경남 거제시 신협읍,생활정수,0.7257,mg/L,7.1041,pH,0.0499,NTU
190,890,2022050320,파주정수장,4148012318,경기도 파주시 파주읍,공업용수,0.0000,mg/L,7.5092,pH,0.1601,NTU
191,889,2022050320,시흥정수장,4127312314,경기도 안산시 선부2동,공업용수,점검중,mg/L,7.5639,pH,0.1782,NTU
192,888,2022050320,석성정수장,4476012351,충남 부여군 석성면,생활정수,0.7364,mg/L,7.4088,pH,0.0495,NTU
193,887,2022050320,연초정수장,4831012331,경남 거제시 연초면,생활정수,0.7219,mg/L,7.2258,pH,0.0245,NTU
194,886,2022050320,천안정수장,4413112355,충남 천안시 동남구,생활정수,0.7247,mg/L,7.1022,pH,0.0645,NTU
195,885,2022050320,금산정수장,4471012372,충남 금산군 남일면,생활정수,0.5416,mg/L,7.7444,pH,0.0883,NTU
196,884,2022050320,반월정수장,4127112311,경기도 안산시 상록구,생활정수,1.0259,mg/L,7.4147,pH,0.0531,NTU
197,883,2022050320,고양정수장,4128512319,경기도 고양시 일산동구,생활정수,0.9012,mg/L,7.5623,pH,0.0673,NTU
198,882,2022050320,황지정수장,4219012371,강원도 태백시 황지동,생활정수,0.8283,mg/L,7.2484,pH,0.0734,NTU
199,881,2022050320,보령정수장,4418012359,층남 보령시 웅천읍,생활정수,0.8761,mg/L,7.7161,pH,0.0515,NTU
200,880,2022050320,공주정수장,4415012357,충남 공주시 유구읍,생활정수,0.6897,mg/L,7.4419,pH,0.0358,NTU
201,879,2022050320,아산정수장,4420012354,충남 아산시 영인면,생활정수,0.7140,mg/L,7.3032,pH,0.0533,NTU
202,878,2022050320,고산정수장,4571012367,전북 완주군 고산면,생활정수,0.8757,mg/L,7.3605,pH,0.0407,NTU
203,877,2022050320,동화정수장,4574012385,전북 장수군 변암면,생활정수,0.7630,mg/L,7.0660,pH,0.0650,NTU
204,876,2022050320,화순정수장,4679012364,전남 화순군 화순읍,생활정수,점검중,mg/L,7.0602,pH,0.0779,NTU
205,875,2022050320,덕정정수장,4680012386,전남 장흥군 부산면,생활정수,0.8943,mg/L,7.3706,pH,0.0523,NTU
206,874,2022050320,군산정수장,4513012365,전북 군산시 내흥동,공업용수,0.0248,mg/L,7.3053,pH,0.9379,NTU
207,873,2022050320,성남정수장,4113112313,경기도 성남시 수정구,생활정수,0.8372,mg/L,7.4868,pH,0.0489,NTU
208,872,2022050320,시흥정수장,4127312314,경기도 안산시 선부2동,생활정수,0.8478,mg/L,7.6449,pH,0.0608,NTU
209,871,2022050320,온산정수장,3171012336,울산시 울주군 온산읍,공업용수,0.0280,mg/L,7.4209,pH,0.5223,NTU
